nombre,apellido,producto,cantidad,precio_unitario,canal_venta
Ana,Martinez,Cordillera Mouse,5,119.8,Distribuidor
Carlos,Hernandez,Nano Telefono,4,113.78,Tienda
Andres,Sanchez,Bright Carpeta,3,65.12,Distribuidor
Andres,Garcia,Magna Zapatilla,3,54.19,Distribuidor
Pedro,Gonzalez,Selva Lampara,3,230.57,Tienda
Ana,Rodriguez,Cordillera Camisa,1,322.6,Distribuidor
Sofia,Diaz,Magna Lampara,4,127.76,CallCenter
Carlos,Ramirez,Andino Muñeco,3,97.37,Ecommerce
Jorge,Rodriguez,Giga Telefono,4,78.49,Marketplace
Sofia,Lopez,Quick Tripode,3,95.49,Marketplace
Pedro,Hernandez,Selva Carpeta,5,106.37,Ecommerce
Pedro,Lopez,Aqua Mousepad,5,234.72,Distribuidor
Ana,Perez,Pacifica Colchoneta,5,28.32,Distribuidor
Juan,Martinez,Mini Sarten,2,23.15,Marketplace
Andres,Perez,Montana ProtectorSolar,3,259.81,Marketplace
Luisa,Perez,Paisa Telefono,2,114.45,Marketplace
Sofia,Diaz,Quick Plancha,4,236.63,CallCenter
Jorge,Rodriguez,Pacifica Toalla,2,4.85,Ecommerce
Andres,Hernandez,Rio Chaqueta,4,225.13,CallCenter
Ana,Sanchez,Active Silla,4,22.88,Tienda
Camila,Rodriguez,Oro PowerBank,4,70.4,Marketplace
Camila,Sanchez,Pacifica Tambor,2,103.58,CallCenter
Sofia,Hernandez,Cacao Papel,3,182.81,Ecommerce
Luisa,Ramirez,Oro Plancha,2,29.58,Marketplace
Camila,Garcia,Fresh Pegante,3,43.5,Tienda
Maria,Ramirez,Power Tijera,3,161.65,Marketplace
Maria,Martinez,Nova Parlante,4,507.19,CallCenter
Juan,Lopez,Fresh Papel,2,123.25,Tienda
andres,sanchez,Opti Galleta,3,184.46,Ecommerce
Jorge,Gonzalez,Pacifica Botella,5,26.34,Distribuidor
Sofia,Hernandez,Alpha Cable,3,47.44,CallCenter
pedro,gonzalez,Opti Chocolate,5,67.11,Ecommerce
Juan,Garcia,Sierra Lampara,2,149.48,Ecommerce
Andres,Hernandez,Aqua Cable,2,8.16,Tienda
Pedro,Gonzalez,Plus Shampoo,2,84.35,Distribuidor
Camila,Lopez,Giga Copa,3,9.99,CallCenter
Jorge,Garcia,Lago Plancha,1,32.0,Ecommerce
Juan,Garcia,Omega Botella,3,34.56,CallCenter
Luisa,Perez,Power Pegante,3,34.88,Marketplace
Andres,Garcia,Sabana Talonario,4,44.39,CallCenter
Ana,Lopez,Llanero Raqueta,4,76.67,Tienda
Sofia,Rodriguez,Montana Pelota,3,182.3,Tienda
Ana,Lopez,Omega Resaltador,5,8.67,Marketplace
Sofia,Perez,Quick Toalla,4,64.94,Ecommerce
Camila,Lopez,Magna Auriculares,3,85.68,CallCenter
Juan,Sanchez,Cool Estante,1,30.82,CallCenter
Sofia,Garcia,Nano Rompecabezas,5,50.66,Ecommerce
Maria,Lopez,Cielo Talonario,2,14.23,Distribuidor
Juan,Ramirez,Silver Licuadora,3,80.96,Marketplace
Carlos,Lopez,Sabana Router,3,64.64,Distribuidor
Andres,Diaz,Plus Cepillo,5,37.04,Ecommerce
Juan,Sanchez,Max Mesa,4,181.58,Distribuidor
Jorge,Hernandez,Basic Gorra,4,148.94,Tienda
Pedro,Sanchez,Cafe Talonario,4,703.52,Tienda
Pedro,Ramirez,Pro Afeitadora,2,30.15,Ecommerce
Jorge,Lopez,Basic Mouse,5,149.99,Marketplace
Carlos,Diaz,Power Sarten,5,68.79,Distribuidor
Juan,Gonzalez,Mini Switch,4,73.94,Marketplace
Andres,Gonzalez,Crystal Pelota,4,196.18,Tienda
Maria,Perez,Fresh Rompecabezas,1,77.27,Tienda
ana,ramirez,Prime Cuchillo,1,356.32,CallCenter
Juan,Gonzalez,Aero Cuaderno,3,57.81,Tienda
Camila,Gonzalez,Smart Maceta,3,68.6,Tienda
Sofia,Garcia,Max Olla,5,65.2,Distribuidor
Ana,Perez,Giga Bicicleta,5,767.74,CallCenter
Luisa,Perez,Paisa Crema,2,73.2,CallCenter
Carlos,Garcia,Rio Chocolate,2,92.08,CallCenter
Camila,Garcia,Pro Zapatilla,1,173.11,Distribuidor
Juan,Hernandez,Nano Tijera,3,33.73,Marketplace
Maria,Garcia,Aqua Mesa,1,106.09,Distribuidor
Andres,Sanchez,Silver Linterna,1,27.94,Distribuidor
Jorge,Diaz,Andes Maceta,3,48.69,Distribuidor
Luisa,Martinez,Aqua Pantalon,2,12.44,Ecommerce
Juan,Sanchez,Crystal Auriculares,3,25.9,Ecommerce
Andres,Perez,Omega Mochila,4,94.76,Ecommerce
Ana,Rodriguez,Aqua Cuaderno,4,33.46,Tienda
Camila,Gonzalez,Cafe Balanza,4,46.17,Marketplace
Camila,Perez,Royal Agenda,5,158.57,Tienda
Camila,Perez,Bright Microfono,2,22.6,Distribuidor
Carlos,Rodriguez,Quick Copa,2,39.59,Ecommerce
Ana,Ramirez,Lago Toalla,5,69.19,Distribuidor
Camila,Ramirez,Aero Switch,1,94.28,Ecommerce
Pedro,Garcia,Mini Mousepad,4,12.41,Distribuidor
Sofia,Lopez,Lite Tripode,4,46.64,CallCenter
Jorge,Gonzalez,Nova Guante,1,23.4,CallCenter
Pedro,Hernandez,Montana Mousepad,3,63.06,Marketplace
maria,garcia,Power Zapatilla,3,80.15,Marketplace
juan,garcia,Mini Tambor,2,168.27,Distribuidor
Sofia,Hernandez,Cafetal Camisa,5,111.48,Distribuidor
sofia,perez,Cordillera Switch,2,3.46,Ecommerce
Juan,Hernandez,Aqua Botella,3,157.55,Distribuidor
Luisa,Lopez,Cielo Chaqueta,1,7.33,Ecommerce
Camila,Garcia,Nova Licuadora,2,9.43,Distribuidor
Sofia,Gonzalez,Cacao Chaqueta,4,108.07,CallCenter
Jorge,Garcia,Max Boligrafo,4,29.18,Ecommerce
Juan,Diaz,Basic Colchoneta,1,181.98,Marketplace
Carlos,Hernandez,Andino Bicicleta,3,45.06,Distribuidor
Ana,Rodriguez,Cafetal Guante,4,173.59,Ecommerce
maria,rodriguez,Pro Papel,4,98.17,CallCenter
Andres,Lopez,Alpha Teclado,5,9.21,Marketplace
Sofia,Diaz,Giga Router,2,98.68,CallCenter
Sofia,Rodriguez,Nano Extensor,3,81.03,Ecommerce
Andres,Hernandez,Neo Balon,2,20.89,Ecommerce
Juan,Garcia,Andes Agenda,3,219.35,Ecommerce
Andres,Diaz,Eco Galleta,4,414.85,CallCenter
Carlos,Gonzalez,Flex Cuaderno,5,10.71,Distribuidor
camila,martinez,Cielo Carpeta,2,231.16,Tienda
Luisa,Lopez,Active Perfume,4,62.38,CallCenter
Sofia,Diaz,Metro Cable,3,54.41,CallCenter
Maria,Ramirez,Royal Pegante,2,151.82,Ecommerce
Carlos,Ramirez,Llanero Cargador,2,26.77,Ecommerce
jorge,sanchez,Elite Mesa,4,133.46,CallCenter
Maria,Garcia,Sierra Copa,2,780.86,CallCenter
Carlos,Ramirez,Rio Biberon,5,97.17,CallCenter
Sofia,Perez,Oro Regla,5,69.1,Marketplace
Maria,Perez,Eco Carpeta,4,545.24,Ecommerce
Sofia,Sanchez,Power Carpeta,3,168.48,Ecommerce
Ana,Diaz,Pacifica Semilla,4,124.91,Marketplace
Carlos,Hernandez,Metro Chaqueta,5,47.78,Ecommerce
Ana,Martinez,Pacifica Tambor,1,103.58,CallCenter
Camila,Ramirez,Smart Mochila,1,371.47,Tienda
Maria,Hernandez,Flex PowerBank,2,239.86,Tienda
Maria,Rodriguez,Eco Boligrafo,2,98.12,CallCenter
Sofia,Garcia,Prime Cuaderno,1,78.09,Ecommerce
Andres,Sanchez,Andes Semilla,5,43.01,Marketplace
Sofia,Lopez,Cordillera Plancha,2,46.51,CallCenter
Sofia,Gonzalez,Omega Chaqueta,4,104.49,Marketplace
Juan,Lopez,Plus Licuadora,4,764.13,Distribuidor
Juan,Ramirez,Metro Tambor,5,36.37,Ecommerce
Andres,Garcia,Andes Maceta,2,48.69,Distribuidor
Luisa,Perez,Lago Cereal,4,88.76,Marketplace
Juan,Martinez,Plus Tambor,2,5.17,CallCenter
Ana,Hernandez,Silver Sacapuntas,2,27.17,CallCenter
Juan,Garcia,Sierra Carpeta,4,6.65,Marketplace
Ana,Lopez,Cafe Gorra,1,81.56,Ecommerce
Luisa,Hernandez,Montana Pantalon,4,23.77,Ecommerce
Luisa,Perez,Neo Termo,5,421.62,Marketplace
Pedro,Perez,Power Guante,3,11.09,Marketplace
Sofia,Gonzalez,Elite Extensor,4,102.25,Tienda
Ana,Sanchez,Pacifica Zapatilla,2,233.79,CallCenter
Andres,Martinez,Giga Papel,2,202.52,Ecommerce
Andres,Hernandez,Active Gorra,4,116.93,Ecommerce
Pedro,Perez,Opti Perfume,3,13.94,Ecommerce
Sofia,Rodriguez,Fresh Drone,4,361.33,Tienda
Andres,Lopez,Power Muñeco,3,54.59,Ecommerce
Andres,Lopez,Montana Plato,3,75.18,CallCenter
Carlos,Diaz,Golden Guante,5,198.34,Ecommerce
Luisa,Diaz,Aero Cinta,2,262.65,Ecommerce
Andres,Sanchez,Omega Extensor,2,19.46,Marketplace
Sofia,Hernandez,Plus Router,3,102.82,CallCenter
Pedro,Lopez,Max Toalla,2,51.92,Tienda
Camila,Garcia,Sierra Afeitadora,1,175.91,Tienda
Camila,Martinez,Cacao Camisa,3,36.13,Distribuidor
Carlos,Rodriguez,Power Mochila,2,142.55,Ecommerce
Luisa,Martinez,Max Cable,1,47.45,Tienda
Jorge,Martinez,Elite Silla,5,281.51,Ecommerce
Camila,Perez,Royal Jabon,2,60.75,Tienda
Andres,Sanchez,Cordillera Balanza,1,27.75,Marketplace
Ana,Perez,Andes Crema,4,85.49,Distribuidor
Camila,Martinez,Eco Crema,4,185.46,Distribuidor
Andres,Garcia,Andino Gorra,1,205.84,Marketplace
Juan,Gonzalez,Sabana Pantalon,3,159.8,Ecommerce
Ana,Lopez,Cafetal Microfono,3,97.63,Tienda
Luisa,Martinez,Magna Switch,2,80.65,Ecommerce
Jorge,Diaz,Cacao Rompecabezas,4,335.41,Marketplace
Carlos,Ramirez,Active Maceta,3,162.78,Marketplace
Sofia,Ramirez,Pro Pegante,3,3.72,Distribuidor
Jorge,Sanchez,Lago Plancha,4,32.0,Tienda
Jorge,Hernandez,Montana Telefono,5,19.74,CallCenter
Pedro,Rodriguez,Cacao Tripode,3,46.41,Ecommerce
Ana,Gonzalez,Max Switch,1,100.7,CallCenter
Pedro,Hernandez,Giga Tambor,2,227.18,Distribuidor
Ana,Lopez,Cordillera Toalla,3,97.25,Ecommerce
carlos,diaz,Fresh Sacapuntas,3,141.21,Tienda
Andres,Hernandez,Bright Toalla,5,64.66,Ecommerce
Juan,Ramirez,Bright PowerBank,1,195.7,Marketplace
Andres,Diaz,Cacao Balon,2,262.38,Distribuidor
Camila,Perez,Giga Chaqueta,3,156.71,CallCenter
Luisa,Lopez,Cafe ProtectorSolar,2,236.29,Tienda
Jorge,Garcia,Cielo Mesa,4,226.55,Tienda
Andres,Perez,Fresh Shampoo,3,339.08,Tienda
Maria,Diaz,Bright Balon,3,49.38,CallCenter
Pedro,Hernandez,Power Guante,4,11.09,Tienda
luisa,garcia,Oro Teclado,5,52.22,CallCenter
Carlos,Ramirez,Alpha Mochila,3,137.86,Distribuidor
Carlos,Diaz,Cordillera Guitarra,2,46.72,Distribuidor
Maria,Rodriguez,Lago Carpa,1,77.48,Ecommerce
Carlos,Garcia,Rio Toalla,2,193.64,Tienda
Luisa,Rodriguez,Andes Cable,5,60.91,Tienda
Jorge,Lopez,Cielo Archivador,1,266.01,CallCenter
Jorge,Martinez,Plus Mesa,2,70.64,Ecommerce
Andres,Perez,Flex Olla,2,47.09,Marketplace
Carlos,Rodriguez,Cordillera Switch,4,3.46,Tienda
Andres,Sanchez,Lite Chaqueta,5,10.47,Distribuidor
Jorge,Martinez,Bright Drone,4,18.98,Distribuidor
Ana,Rodriguez,Power Boligrafo,1,58.39,Tienda
Juan,Hernandez,Crystal Webcam,4,13.63,Distribuidor
Jorge,Rodriguez,Aero Talonario,5,12.07,CallCenter
Jorge,Gonzalez,Paisa Tambor,3,72.0,Tienda
Pedro,Lopez,Sabana Parlante,3,314.5,Tienda
Carlos,Lopez,Nano Colchoneta,1,24.25,Tienda
Maria,Diaz,Cool Guitarra,3,22.4,Distribuidor
Ana,Garcia,Max Cargador,4,118.63,Distribuidor
Maria,Lopez,Sabana Patin,1,46.1,Ecommerce
Carlos,Perez,Andes ProtectorSolar,5,16.24,Tienda
Jorge,Lopez,Nova Biberon,1,102.56,CallCenter
Andres,Hernandez,Cordillera Regla,1,40.46,Marketplace
Sofia,Garcia,Rio Lampara,2,38.81,Ecommerce
Maria,Lopez,Elite Tambor,2,310.99,Tienda
Pedro,Perez,Bosque Shampoo,1,8.45,Ecommerce
Andres,Ramirez,Cacao Webcam,3,662.02,Marketplace
Carlos,Perez,Rio Galleta,2,14.15,Tienda
sofia,rodriguez,Prime Tripode,5,298.4,Tienda
Juan,Diaz,Plus PowerBank,4,102.38,Ecommerce
Camila,Hernandez,Fresh Carpeta,2,133.34,Tienda
Pedro,Garcia,Omega Switch,1,512.19,Tienda
Ana,Gonzalez,Rio Archivador,3,39.05,CallCenter
Jorge,Diaz,Andino Shampoo,4,23.14,Marketplace
Andres,Sanchez,Cafetal Webcam,2,183.12,Ecommerce
Luisa,Rodriguez,Magna Olla,3,18.12,Tienda
Carlos,Diaz,Montana Lampara,3,9.78,Marketplace
Ana,Perez,Paisa Pelota,3,82.19,Tienda
Pedro,Ramirez,Sierra Balanza,1,235.13,Distribuidor
Pedro,Perez,Plus Pantalon,5,11.33,Distribuidor
Pedro,Martinez,Active Crema,3,408.41,Ecommerce
Andres,Hernandez,Andes Plato,4,110.36,Marketplace
Pedro,Gonzalez,Max Balanza,2,83.98,Distribuidor
Ana,Martinez,Aqua Perfume,4,54.35,CallCenter
Jorge,Hernandez,Active Carpa,1,170.82,Tienda
Pedro,Lopez,Neo Bicicleta,1,12.54,CallCenter
Pedro,Sanchez,Smart Guitarra,4,58.4,Tienda
Ana,Gonzalez,Llanero Lampara,5,277.13,Ecommerce
Pedro,Perez,Plus Guante,1,153.04,Distribuidor
Maria,Garcia,Sabana Lampara,1,21.06,Distribuidor
Carlos,Garcia,Alpha Rompecabezas,4,142.98,Ecommerce
Pedro,Sanchez,Alpha Estante,1,724.31,Ecommerce
Sofia,Perez,Nano Regla,5,60.01,CallCenter
Pedro,Garcia,Mini Raqueta,5,43.39,Ecommerce
Andres,Perez,Crystal Cafetera,5,143.54,Tienda
Luisa,Diaz,Nova Teclado,2,124.81,CallCenter
Ana,Perez,Cafe Router,5,57.85,Distribuidor
Camila,Ramirez,Cool Parlante,5,42.1,Ecommerce
Andres,Sanchez,Paisa Resaltador,2,246.32,Distribuidor
Juan,Garcia,Cafetal Microfono,3,97.63,Tienda
andres,lopez,Nova Sacapuntas,1,67.7,Marketplace
maria,perez,Mini Mesa,5,106.82,CallCenter
Luisa,Martinez,Nano Chocolate,1,51.6,Tienda
Andres,Sanchez,Pro Olla,4,65.87,Tienda
Ana,Gonzalez,Plus Papel,1,750.03,Marketplace
Andres,Diaz,Omega Shampoo,2,130.63,Tienda
Ana,Ramirez,Aero Jabon,1,18.61,Marketplace
Maria,Hernandez,Basic Jabon,1,27.09,Ecommerce
Sofia,Diaz,Bright ProtectorSolar,1,12.24,Tienda
Juan,Ramirez,Alpha Pelota,3,322.34,CallCenter
Carlos,Perez,Cool Cargador,3,19.35,CallCenter
Camila,Garcia,Montana Biberon,4,11.74,Tienda
Maria,Diaz,Basic Guante,2,33.33,CallCenter
Carlos,Gonzalez,Aero Mochila,1,587.8,Ecommerce
Carlos,Sanchez,Giga Carpeta,1,32.68,Distribuidor
Andres,Perez,Selva Talonario,1,83.39,Distribuidor
Jorge,Sanchez,Opti Mochila,1,640.69,CallCenter
Luisa,Diaz,Crystal Auriculares,3,25.9,Marketplace
Camila,Lopez,Giga Raqueta,4,50.93,CallCenter
Juan,Diaz,Basic Tenedor,5,99.09,Ecommerce
Jorge,Lopez,Paisa Extensor,2,107.24,Tienda
Carlos,Diaz,Cool Marcador,1,129.67,Tienda
Pedro,Gonzalez,Mini Olla,4,522.47,Tienda
Andres,Gonzalez,Cacao Tambor,5,20.23,CallCenter
Andres,Ramirez,Cafe Sacapuntas,4,105.8,Distribuidor
Pedro,Sanchez,Rio Agenda,3,96.65,Ecommerce
andres,ramirez,Nova Afeitadora,5,96.43,Marketplace
Juan,Perez,Cafetal Balanza,4,63.99,Distribuidor
Luisa,Sanchez,Aqua Zapatilla,3,95.16,CallCenter
Juan,Martinez,Giga Colchoneta,4,222.37,Distribuidor
Ana,Diaz,Smart Tambor,4,586.46,CallCenter
Ana,Martinez,Oro Cuchillo,5,110.96,CallCenter
Jorge,Hernandez,Cordillera Shampoo,3,278.49,Distribuidor
Juan,Garcia,Opti Botella,1,41.39,Tienda
Jorge,Garcia,Giga Mesa,2,73.4,CallCenter
Andres,Rodriguez,Lite Mouse,5,17.02,Marketplace
Pedro,Perez,Quick PowerBank,3,37.25,Distribuidor
Maria,Garcia,Elite Cuchillo,4,435.01,Ecommerce
Sofia,Lopez,Sabana Gorra,3,178.93,Marketplace
Pedro,Ramirez,Quick Mesa,2,164.25,Distribuidor
Luisa,Ramirez,Cafetal Colchoneta,2,31.56,Tienda
Luisa,Ramirez,Power Balanza,1,170.66,Marketplace
Luisa,Ramirez,Flex Rompecabezas,1,219.93,Ecommerce
Jorge,Gonzalez,Max ProtectorSolar,2,24.82,Distribuidor
ana,garcia,Cacao Cinta,5,44.63,Distribuidor
Andres,Diaz,Sabana Auriculares,5,15.25,Ecommerce
Carlos,Gonzalez,Andino Resaltador,4,66.23,Tienda
Carlos,Ramirez,Pro Linterna,1,82.71,Distribuidor
Sofia,Perez,Lite Cuaderno,4,7.23,Marketplace
Carlos,Diaz,Cafe Drone,1,3.91,CallCenter
Sofia,Gonzalez,Cordillera Boligrafo,2,162.55,Distribuidor
Camila,Gonzalez,Montana Marcador,5,83.84,CallCenter
Sofia,Hernandez,Andes Maceta,5,48.69,Distribuidor
Carlos,Sanchez,Quick Cable,2,42.9,CallCenter
Ana,Ramirez,Llanero Mouse,4,1.47,CallCenter
Luisa,Ramirez,Fresh PowerBank,4,24.04,Tienda
Juan,Garcia,Power Pantalon,3,608.19,Marketplace
Juan,Sanchez,Llanero Balon,1,45.5,Ecommerce
Jorge,Hernandez,Selva Copa,4,215.87,Distribuidor
Maria,Gonzalez,Max Muñeco,2,146.93,Tienda
Carlos,Rodriguez,Pacifica Cable,4,11.17,CallCenter
Ana,Lopez,Neo Zapatilla,5,15.75,Marketplace
Luisa,Gonzalez,Llanero Cinta,1,118.53,Ecommerce
Maria,Hernandez,Omega Sarten,3,131.41,Distribuidor
Sofia,Diaz,Pro Balanza,1,12.64,Tienda
jorge,ramirez,Nano Botella,5,34.85,Tienda
Jorge,Sanchez,Magna Tenedor,5,103.26,CallCenter
Pedro,Garcia,Golden Afeitadora,5,101.1,Ecommerce
Carlos,Rodriguez,Basic Biberon,5,173.38,Tienda
Carlos,Hernandez,Rio Webcam,2,24.39,Marketplace
Sofia,Hernandez,Selva Toalla,3,280.81,CallCenter
Sofia,Rodriguez,Silver Cargador,5,122.03,Ecommerce
Jorge,Sanchez,Pro Lampara,5,88.49,CallCenter
Pedro,Hernandez,Quick Pantalon,4,145.8,Tienda
andres,martinez,Rio Balanza,3,106.41,Distribuidor
Maria,Martinez,Rio Mesa,1,282.26,CallCenter
Andres,Ramirez,Nova Shampoo,3,88.63,Distribuidor
Andres,Sanchez,Selva Plancha,3,85.22,Ecommerce
Carlos,Ramirez,Silver Telefono,3,96.14,Distribuidor
Maria,Ramirez,Sabana Agenda,5,102.03,CallCenter
Juan,Hernandez,Cordillera Toalla,5,97.25,Tienda
Ana,Hernandez,Power Switch,2,28.81,Marketplace
Ana,Garcia,Lite Semilla,1,88.09,Ecommerce
Juan,Perez,Cafe Webcam,4,355.49,CallCenter
Jorge,Garcia,Basic Estante,3,82.18,Distribuidor
Ana,Sanchez,Mini Toalla,1,275.27,CallCenter
Sofia,Gonzalez,Magna Chocolate,1,30.66,Tienda
Jorge,Ramirez,Quick Raqueta,2,398.23,Marketplace
Carlos,Hernandez,Pacifica Extensor,4,404.41,Tienda
Carlos,Perez,Active Botella,3,106.4,Tienda
Juan,Perez,Aero Switch,4,94.28,CallCenter
Ana,Lopez,Alpha Cuaderno,2,32.97,Ecommerce
Luisa,Rodriguez,Alpha Papel,5,55.42,CallCenter
Carlos,Gonzalez,Lago Resaltador,1,486.22,Distribuidor
Sofia,Martinez,Montana Tenedor,3,12.57,CallCenter
Andres,Martinez,Cacao Archivador,5,15.8,Distribuidor
Andres,Sanchez,Plus Extensor,2,382.98,Marketplace
Pedro,Diaz,Sierra Cuaderno,4,35.57,Ecommerce
Carlos,Perez,Nano Cafetera,1,206.97,CallCenter
Camila,Ramirez,Bosque Pegante,3,105.56,Marketplace
Maria,Ramirez,Llanero Pantalon,5,2.06,Ecommerce
Jorge,Lopez,Nova Cuaderno,5,24.71,Marketplace
Carlos,Diaz,Paisa Mochila,1,34.86,Marketplace
Andres,Diaz,Quick Semilla,4,54.45,Distribuidor
Luisa,Diaz,Selva Olla,2,48.7,Tienda
Juan,Sanchez,Cacao Papel,4,182.81,Distribuidor
Pedro,Sanchez,Omega Camisa,4,17.58,Distribuidor
Juan,Lopez,Oro Mesa,4,22.05,CallCenter
Sofia,Rodriguez,Mini Olla,1,522.47,Marketplace
Luisa,Lopez,Active Boligrafo,1,21.84,Tienda
Sofia,Perez,Sierra Monitor,2,82.97,Ecommerce
Juan,Perez,Andes Cable,4,60.91,Ecommerce
Ana,Lopez,Silver Silla,1,11.8,Tienda
Juan,Perez,Basic Carpeta,2,69.08,Ecommerce
Maria,Lopez,Opti Tenedor,2,22.37,CallCenter
Sofia,Diaz,Flex Archivador,4,51.85,Ecommerce
Sofia,Gonzalez,Lago Jabon,3,134.23,Tienda
Pedro,Diaz,Montana Maceta,4,26.7,CallCenter
Maria,Diaz,Lago Agenda,3,100.88,Ecommerce
Ana,Gonzalez,Golden Agenda,2,126.32,Marketplace
Pedro,Diaz,Bright Balanza,1,148.85,Distribuidor
camila,gonzalez,Oro Cepillo,5,7.75,Marketplace
Luisa,Hernandez,Mini Auriculares,2,16.73,Tienda
Sofia,Lopez,Lite Pegante,1,2.6,CallCenter
Pedro,Martinez,Rio Lampara,2,38.81,CallCenter
Juan,Martinez,Paisa Sacapuntas,4,160.3,Marketplace
Carlos,Garcia,Silver Plancha,3,82.05,Tienda
Jorge,Garcia,Montana Jabon,2,115.93,Tienda
Ana,Hernandez,Crystal Semilla,1,115.96,CallCenter
Carlos,Diaz,Basic Linterna,4,188.38,Marketplace
jorge,gonzalez,Quick Crema,5,45.39,Marketplace
Jorge,Diaz,Sabana Patin,4,46.1,Distribuidor
Pedro,Gonzalez,Opti Tenedor,3,22.37,Ecommerce
Jorge,Ramirez,Aero Bicicleta,4,57.01,CallCenter
Maria,Sanchez,Pacifica Extensor,5,404.41,Marketplace
Juan,Martinez,Giga Botella,1,117.43,Tienda
Luisa,Perez,Aero Microfono,2,31.28,Distribuidor
Sofia,Garcia,Andino Sacapuntas,3,5.61,Ecommerce
Pedro,Gonzalez,Pro Resaltador,5,269.96,CallCenter
Jorge,Diaz,Lago Crema,3,30.96,CallCenter
Ana,Perez,Omega Olla,4,41.69,Tienda
Ana,Garcia,Paisa Plancha,3,77.0,Ecommerce
carlos,martinez,Nova Botella,5,63.43,Tienda
Jorge,Ramirez,Cordillera Cepillo,2,28.3,Ecommerce
Ana,Garcia,Oro Telefono,2,151.28,Ecommerce
Andres,Lopez,Selva Rompecabezas,3,167.73,Tienda
Sofia,Hernandez,Opti Biberon,1,87.1,Tienda
Ana,Hernandez,Sabana Mouse,3,877.97,Tienda
Luisa,Hernandez,Aero Pegante,4,409.33,Marketplace
Sofia,Garcia,Cacao Muñeco,2,44.47,Tienda
Luisa,Lopez,Power ProtectorSolar,2,99.54,CallCenter
Andres,Hernandez,Fresh PowerBank,2,24.04,Marketplace
Ana,Sanchez,Quick Papel,1,143.92,Marketplace
Pedro,Lopez,Aqua Pegante,1,691.7,Marketplace
Maria,Gonzalez,Lago Mousepad,5,584.81,Tienda
Ana,Sanchez,Magna Marcador,3,2.43,Tienda
Ana,Martinez,Neo Teclado,3,15.32,Marketplace
Juan,Hernandez,Giga Guitarra,4,63.33,Distribuidor
Sofia,Perez,Cordillera Sarten,2,94.42,Tienda
Pedro,Garcia,Elite Pantalon,1,9.44,Distribuidor
Camila,Hernandez,Nano Cargador,4,122.35,CallCenter
Pedro,Sanchez,Mini Regla,4,111.31,CallCenter
Camila,Martinez,Royal Resaltador,1,159.55,CallCenter
Luisa,Sanchez,Lago Balanza,3,63.65,Tienda
Juan,Lopez,Omega Carpa,2,169.82,Ecommerce
Ana,Sanchez,Andes Cereal,3,118.77,Marketplace
maria,diaz,Prime Webcam,4,121.49,Distribuidor
Sofia,Sanchez,Andes Talonario,2,10.48,Distribuidor
Luisa,Diaz,Royal Termo,5,310.31,Distribuidor
Carlos,Ramirez,Elite Cable,4,443.07,Ecommerce
Maria,Martinez,Lite Cinta,3,37.35,Ecommerce
Carlos,Perez,Pro Drone,3,54.0,Marketplace
Andres,Gonzalez,Opti Cinta,3,280.53,Tienda
Camila,Diaz,Golden Perfume,1,139.23,Ecommerce
maria,garcia,Silver Agenda,4,14.19,Marketplace
Jorge,Rodriguez,Giga Cuaderno,2,139.05,Marketplace
Jorge,Rodriguez,Eco Gorra,3,28.86,Ecommerce
Jorge,Sanchez,Cielo PowerBank,3,14.59,Ecommerce
Pedro,Martinez,Rio Extensor,1,55.69,Marketplace
Sofia,Gonzalez,Paisa Tripode,2,95.83,Distribuidor
Maria,Gonzalez,Aqua Mesa,4,106.09,Marketplace
Andres,Rodriguez,Bright Pantalon,5,21.63,Distribuidor
Sofia,Rodriguez,Neo Microfono,1,19.57,Distribuidor
Andres,Perez,Alpha Chaqueta,4,161.18,Distribuidor
Camila,Perez,Cielo Papel,5,110.02,CallCenter
Carlos,Hernandez,Opti Boligrafo,3,170.37,Tienda
Pedro,Lopez,Max Gorra,3,28.01,Tienda
Sofia,Ramirez,Cielo Router,2,33.89,Tienda
Juan,Hernandez,Rio Papel,5,83.4,Tienda
Ana,Hernandez,Metro Regla,3,35.22,Distribuidor
Camila,Gonzalez,Eco Tambor,3,98.15,Distribuidor
Juan,Hernandez,Basic Carpa,2,54.5,Marketplace
Juan,Garcia,Cafetal Bicicleta,4,102.95,Marketplace
Juan,Sanchez,Aero PowerBank,3,131.29,Distribuidor
Maria,Gonzalez,Elite Extensor,1,102.25,CallCenter
Luisa,Sanchez,Smart Afeitadora,1,37.43,Distribuidor
Jorge,Ramirez,Nano Cereal,4,285.97,Tienda
Pedro,Rodriguez,Power Shampoo,5,24.33,Ecommerce
Maria,Rodriguez,Golden Auriculares,2,153.18,CallCenter
Camila,Perez,Golden Guitarra,1,164.54,Tienda
pedro,rodriguez,Bright Chaqueta,1,19.03,Marketplace
Jorge,Diaz,Quick Maceta,4,54.73,CallCenter
Carlos,Martinez,Magna Teclado,5,27.02,Tienda
Pedro,Sanchez,Mini Webcam,5,94.26,Distribuidor
Luisa,Lopez,Power Sacapuntas,4,64.27,Ecommerce
Juan,Diaz,Pro Teclado,1,230.34,Marketplace
Camila,Hernandez,Quick Cargador,2,23.51,Distribuidor
Carlos,Ramirez,Selva Camisa,1,245.87,Marketplace
Camila,Rodriguez,Rio Gorra,5,112.44,Ecommerce
Jorge,Gonzalez,Royal Cable,1,48.16,Distribuidor
